ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,tax_assessed_value,overpriced,date
7922 Bayberry Dr,Alexandria,VA,22306,749000,547900.0,201100.0,2021-08-30
14861 Leicester Ct,Centreville,VA,20120,417000,329660.0,87340.0,2021-08-30
2042 Headlands Cir,Reston,VA,20191,550000,472750.0,77250.0,2021-08-30
13660 Saint Johns Wood Pl,Herndon,VA,20171,550000,495740.0,54260.0,2021-08-30
3131 Guysborough Dr,Fairfax,VA,22031,634900,588270.0,46630.0,2021-08-30
5239 Ballycastle Cir,Alexandria,VA,22315,635000,556460.0,78540.0,2021-08-30
5813 Shana Pl,Burke,VA,22015,674900,463010.0,211890.0,2021-08-30
3120 Barnard Ct,Fairfax,VA,22031,680000,544800.0,135200.0,2021-08-30
565 Van Buren St,Herndon,VA,20170,649000,537330.0,111670.0,2021-08-30
7934 Bayberry Dr,Alexandria,VA,22306,729900,565340.0,164560.0,2021-08-30
7139 Hamor Ln,Springfield,VA,22153,699900,631920.0,67980.0,2021-08-30
4113 Quiet Crossing Ct,Fairfax,VA,22033,640000,538120.0,101880.0,2021-08-30
1555 Scandia Cir,Reston,VA,20190,560000,454790.0,105210.0,2021-08-30
5805 Oak Ladder Ct,Burke,VA,22015,460000,411610.0,48390.0,2021-08-30
3817 Roxbury Ct,Alexandria,VA,22309,459900,395120.0,64780.0,2021-08-30
3138 Barnard Ct,Fairfax,VA,22031,650000,520880.0,129120.0,2021-08-30
5704 Wigfield Way,Burke,VA,22015,769900,638470.0,131430.0,2021-08-30
7915 Journey Ln,Springfield,VA,22153,639900,509750.0,130150.0,2021-08-30
4941 Sauquoit Ln,Annandale,VA,22003,650000,434250.0,215750.0,2021-08-30
5927 Kirkcaldy Ln,Alexandria,VA,22315,565000,497630.0,67370.0,2021-08-30
8008 Samuel Wallis St,Lorton,VA,22079,618000,500120.0,117880.0,2021-08-30
6308 Wayles St,Springfield,VA,22150,630000,512160.0,117840.0,2021-08-30
3940 Providence Pl,Fairfax,VA,22030,599900,476700.0,123200.0,2021-08-30
10329 Belmont Blvd,Lorton,VA,22079,800000,427550.0,372450.0,2021-08-30
5301 New Church Ct,Fairfax,VA,22032,779000,643670.0,135330.0,2021-08-30
6065 Clerkenwell Ct,Burke,VA,22015,519000,453180.0,65820.0,2021-08-30
4164 Zinnia Ln,Fairfax,VA,22030,580000,503930.0,76070.0,2021-08-30
6609 Bowie Dr,Springfield,VA,22150,584900,432500.0,152400.0,2021-08-30
2816 Shawn Leigh Dr,Vienna,VA,22181,649990,615860.0,34130.0,2021-08-30
10642 John Ayres Dr,Fairfax,VA,22032,687000,558900.0,128100.0,2021-08-30
4340 Birchlake Ct,Alexandria,VA,22309,439900,383200.0,56700.0,2021-08-30
6203 Berlee Dr,Alexandria,VA,22312,795000,701180.0,93820.0,2021-08-30
1137 Moorefield Hill Ct SW,Vienna,VA,22180,749900,665950.0,83950.0,2021-08-30
842 Colvin Ct,Herndon,VA,20170,545000,467550.0,77450.0,2021-08-30
2528 Bull Run Ct,Vienna,VA,22180,775000,704810.0,70190.0,2021-08-30
6217 Hillview Ave,Alexandria,VA,22310,719900,506830.0,213070.0,2021-08-30
5128 Beauregard St,Alexandria,VA,22312,599000,473590.0,125410.0,2021-08-30
7710 Havenbrook Way,Springfield,VA,22153,529000,453370.0,75630.0,2021-08-30
6816 Ericka Ave,Alexandria,VA,22310,520000,480000.0,40000.0,2021-08-30
7405 Calico Ct,Springfield,VA,22153,675000,566690.0,108310.0,2021-08-30
8588 Wyngate Manor Ct,Alexandria,VA,22309,537500,486530.0,50970.0,2021-08-30
2810 Hyson Ln,Falls Church,VA,22043,599000,488400.0,110600.0,2021-08-30
8929 Applecross Ln,Springfield,VA,22153,624999,613520.0,11479.0,2021-08-30
4668 Luxberry Dr,Fairfax,VA,22032,639900,526030.0,113870.0,2021-08-30
11929 Barrel Cooper Ct,Reston,VA,20191,445000,363560.0,81440.0,2021-08-30
1907 Old Stage Rd,Alexandria,VA,22308,759000,621830.0,137170.0,2021-08-30
5610 Wood Thrush Ct,Fairfax,VA,22032,749999,613910.0,136089.0,2021-08-30
13608 Old Chatwood Pl,Chantilly,VA,20151,725000,651260.0,73740.0,2021-08-30
14810 Edman Cir,Centreville,VA,20121,469950,378020.0,91930.0,2021-08-30
8306 Southern Oaks Ct,Lorton,VA,22079,519900,437630.0,82270.0,2021-08-30
11696 Stockbridge Ln,Reston,VA,20194,750000,628940.0,121060.0,2021-08-30
6243 Covered Bridge Rd,Burke,VA,22015,749900,610030.0,139870.0,2021-08-30
9973 Whitewater Dr,Burke,VA,22015,555000,425580.0,129420.0,2021-08-30
5921 Pratt St,Alexandria,VA,22310,715000,579730.0,135270.0,2021-08-30
9593 Lagersfield Cir,Vienna,VA,22181,745000,691810.0,53190.0,2021-08-30
3519 Blair Rd,Falls Church,VA,22041,699900,509870.0,190030.0,2021-08-30
12703 Carlsbad Ct,Herndon,VA,20171,590000,492730.0,97270.0,2021-08-30
2365 Hunters Square Ct,Reston,VA,20191,419900,354120.0,65780.0,2021-08-30
9393 Peter Roy Ct,Burke,VA,22015,549900,507310.0,42590.0,2021-08-30
7600 Fallswood Way,Lorton,VA,22079,624900,473510.0,151390.0,2021-08-30
4213 Nutwood Way,Fairfax,VA,22032,649900,545330.0,104570.0,2021-08-30
3923 Fairview Dr,Fairfax,VA,22031,650000,552300.0,97700.0,2021-08-30
7355 Bloomington Ct,Springfield,VA,22150,624000,577140.0,46860.0,2021-08-30
12512 Glenbrooke Woods Dr,Herndon,VA,20171,794900,664930.0,129970.0,2021-08-30
6620 Coachman Dr,Springfield,VA,22152,674900,537070.0,137830.0,2021-08-30
3125 Blue Barn Way,Fairfax,VA,22031,715000,661620.0,53380.0,2021-08-30
12632 Heron Ridge Dr,Fairfax,VA,22030,649900,563820.0,86080.0,2021-08-30
8549 Gwynedd Way,Springfield,VA,22153,499900,410160.0,89740.0,2021-08-30
1966 Hopewood Dr,Falls Church,VA,22043,789000,721640.0,67360.0,2021-08-30
14110 Rocky Valley Dr,Centreville,VA,20121,449900,389970.0,59930.0,2021-08-30
5124 Glen Meadow Dr,Centreville,VA,20120,504900,410400.0,94500.0,2021-08-30
1507 Kings Valley Ct,Herndon,VA,20170,719500,595060.0,124440.0,2021-08-30
5220 Cather Rd,Springfield,VA,22151,699888,567950.0,131938.0,2021-08-30
6409 Joyce Rd,Alexandria,VA,22310,725000,470600.0,254400.0,2021-08-30
5748 Mason Bluff Dr,Burke,VA,22015,512000,430190.0,81810.0,2021-08-30
26195 Ocala Cir,Chantilly,VA,20152,655000,546380.0,108620.0,2021-08-30
3804 Carolyn Ave,Fairfax,VA,22031,639000,445300.0,193700.0,2021-08-30
9907 Barbara Ann Ln,Fairfax,VA,22032,685000,578800.0,106200.0,2021-08-30
7203 Arthur Dr,Falls Church,VA,22046,725000,533200.0,191800.0,2021-08-30
3956 Rosebay Ct,Fairfax,VA,22033,584990,485350.0,99640.0,2021-08-30
6861 Kerrywood Cir,Centreville,VA,20121,540000,414870.0,125130.0,2021-08-30
2701 Wrexham Ct,Herndon,VA,20171,700000,628830.0,71170.0,2021-08-30
6425 Nice Pl,Alexandria,VA,22310,645000,533170.0,111830.0,2021-08-30
9003 Barb Anne Ct,Springfield,VA,22152,679000,609050.0,69950.0,2021-08-30
7786 Newington Woods Dr,Springfield,VA,22153,658000,527760.0,130240.0,2021-08-30
8017 Galla Knoll Cir,Springfield,VA,22153,634900,516570.0,118330.0,2021-08-30
7312 Spring View Ct,Springfield,VA,22153,489975,428250.0,61725.0,2021-08-30
8028 Holland Rd,Alexandria,VA,22306,699900,398660.0,301240.0,2021-08-30
5400 Fremont St,Springfield,VA,22151,559888,466860.0,93028.0,2021-08-30
5709 Wooden Hawk Ln,Burke,VA,22015,799888,660420.0,139468.0,2021-08-30
1110 Artic Quill Rd,Herndon,VA,20170,599000,487790.0,111210.0,2021-08-30
1662 Valencia Way,Reston,VA,20190,475000,440760.0,34240.0,2021-08-30
9518 Blackburn Dr,Burke,VA,22015,699000,574390.0,124610.0,2021-08-30
10009 Five Oaks Rd,Fairfax,VA,22031,720000,596310.0,123690.0,2021-08-30
10101 Glenmere Rd,Fairfax,VA,22032,700000,627230.0,72770.0,2021-08-30
8259 Clifton Farm Ct,Alexandria,VA,22306,559900,470070.0,89830.0,2021-08-30
2833 Knollside Ln,Vienna,VA,22180,510000,496160.0,13840.0,2021-08-30
4697 Helen Winter Ter,Alexandria,VA,22312,660000,582780.0,77220.0,2021-08-30
7026 Quander Rd,Alexandria,VA,22307,649000,571500.0,77500.0,2021-08-30
7033 Solomon Seal Ct,Springfield,VA,22152,600000,505340.0,94660.0,2021-08-30
2471 Rolling Plains Dr,Herndon,VA,20171,549000,515440.0,33560.0,2021-08-30
6197 Wellington Commons Dr,Alexandria,VA,22310,525000,501640.0,23360.0,2021-08-30
11722 Mossy Creek Ln,Reston,VA,20191,524900,446260.0,78640.0,2021-08-30
12021 Johns Pl,Fairfax,VA,22033,595000,522780.0,72220.0,2021-08-30
6149 Summer Park Ln,Alexandria,VA,22315,559900,497930.0,61970.0,2021-08-30
4909 Terrell St,Annandale,VA,22003,675000,608200.0,66800.0,2021-08-30
7349 Old Pohick Way,Lorton,VA,22079,540000,411490.0,128510.0,2021-08-30
9722 Loch Linden Ct,Fairfax,VA,22032,699900,614560.0,85340.0,2021-08-30
5212 Noyes Ct,Fairfax,VA,22032,759714,636000.0,123714.0,2021-08-30
6465 Autumn Glen Ct,Alexandria,VA,22312,584900,435070.0,149830.0,2021-08-30
6015 Carrindale Ct,Burke,VA,22015,700000,590820.0,109180.0,2021-08-30
5810 Fitzhugh St,Burke,VA,22015,685000,600400.0,84600.0,2021-08-30
6905 Raspberry Plain Pl,Springfield,VA,22153,725000,624890.0,100110.0,2021-08-30
3105 Mcgeorge Ter,Alexandria,VA,22309,699000,548840.0,150160.0,2021-08-30
10004 Columbine St,Great Falls,VA,22066,799000,719940.0,79060.0,2021-08-30
8306 Cottage St,Vienna,VA,22180,775000,649650.0,125350.0,2021-08-30
2850 Yarn Ct,Falls Church,VA,22042,725000,613910.0,111090.0,2021-08-30
4027 Quiet Creek Dr,Fairfax,VA,22033,700000,571240.0,128760.0,2021-08-30
2955 Cashel Ln,Vienna,VA,22181,615000,507770.0,107230.0,2021-08-30
7825 Francis Dickens Ln,Annandale,VA,22003,699950,595920.0,104030.0,2021-08-30
7827 Mount Woodley Pl,Alexandria,VA,22306,465000,417300.0,47700.0,2021-08-30
4106 Hazelwood Ct,Fairfax,VA,22030,579000,502920.0,76080.0,2021-08-30
10318 Collingham Dr,Fairfax,VA,22032,785000,631890.0,153110.0,2021-08-30
7515 Collins Meade Way,Alexandria,VA,22315,610000,524590.0,85410.0,2021-08-30
6309 Battlement Way,Alexandria,VA,22312,615000,464840.0,150160.0,2021-08-30
4092 Walnut Cove Cir,Fairfax,VA,22033,649000,541960.0,107040.0,2021-08-30
7507 Cadbury Row,Alexandria,VA,22315,614499,546870.0,67629.0,2021-08-30
7609 Audubon Meadow Way,Alexandria,VA,22306,575000,525510.0,49490.0,2021-08-30
612 Austin Ln,Herndon,VA,20170,649900,471530.0,178370.0,2021-08-30
3922 Green Look Ct,Fairfax,VA,22033,629950,568490.0,61460.0,2021-08-30
6114 Berlee Dr,Alexandria,VA,22312,730000,692020.0,37980.0,2021-08-30
6873 Drifton Ct,Centreville,VA,20121,539999,426050.0,113949.0,2021-08-30
2956 Short Ct,Vienna,VA,22181,749900,513460.0,236440.0,2021-08-30
6709 Elder Ave,Springfield,VA,22150,629000,478170.0,150830.0,2021-08-30
2032 Maleady Dr,Herndon,VA,20170,499900,438380.0,61520.0,2021-08-30
13256 Coppermill Dr,Herndon,VA,20171,550000,485220.0,64780.0,2021-08-30
5906 Ians Way,Alexandria,VA,22315,559100,482760.0,76340.0,2021-08-30
6641 Medinah Ln,Alexandria,VA,22312,514900,467560.0,47340.0,2021-08-30
3807 Mode St,Fairfax,VA,22031,675000,506100.0,168900.0,2021-08-30
11605 Clubhouse Ct,Reston,VA,20190,650000,557760.0,92240.0,2021-08-30
9003 Daum Ct,Springfield,VA,22153,625000,533640.0,91360.0,2021-08-30
2329 Liberty Loop,Herndon,VA,20171,741170,200000.0,541170.0,2021-08-30
2323 Liberty Loop,Herndon,VA,20171,794970,200000.0,594970.0,2021-08-30
7757 Durer Ct,Springfield,VA,22153,439999,372580.0,67419.0,2021-08-30
13380 Frinks Ct,Herndon,VA,20170,585000,488920.0,96080.0,2021-08-30
13140 Lazy Glen Ct,Herndon,VA,20171,679000,547410.0,131590.0,2021-08-30
2415 Windbreak Dr,Alexandria,VA,22306,449900,386230.0,63670.0,2021-08-30
1009 Emerald Dr,Alexandria,VA,22308,750000,747680.0,2320.0,2021-08-30
11110 Lakespray Way,Reston,VA,20191,749900,688010.0,61890.0,2021-08-30
7328 Rockford Dr,Falls Church,VA,22043,689900,603980.0,85920.0,2021-08-30
6024 Kelsey Ct,Falls Church,VA,22044,725000,657370.0,67630.0,2021-08-30
6195 Manchester Park Cir,Alexandria,VA,22310,684900,615840.0,69060.0,2021-08-30
4009 Lake Glen Rd,Fairfax,VA,22033,579000,520390.0,58610.0,2021-08-30
8930 Royal Astor Way,Fairfax,VA,22031,549900,459160.0,90740.0,2021-08-30
10902 Howland Dr,Reston,VA,20191,729000,654680.0,74320.0,2021-08-30
7254 Whitlers Creek Dr,Springfield,VA,22152,599000,473470.0,125530.0,2021-08-30
10009 Park Woods Ln,Burke,VA,22015,650000,558180.0,91820.0,2021-08-30
5302 Hampton Frst,Fairfax,VA,22030,649900,587740.0,62160.0,2021-08-30
2505 Popkins Ln,Alexandria,VA,22306,599000,462170.0,136830.0,2021-08-30
6126 Knollwood Dr,Falls Church,VA,22041,725000,609230.0,115770.0,2021-08-30
5811 Clermont Dr,Alexandria,VA,22310,674990,669860.0,5130.0,2021-08-30
4713 Wakefield Chapel Rd,Annandale,VA,22003,769000,677900.0,91100.0,2021-08-30
2500 Fairview Dr,Alexandria,VA,22306,650000,547920.0,102080.0,2021-08-30
12499 Lucas Dr,Fairfax,VA,22033,654000,554680.0,99320.0,2021-08-30
5604 Glenwood Mews Dr,Alexandria,VA,22315,599000,563140.0,35860.0,2021-08-30
7618 Roanoke Ave,Annandale,VA,22003,650000,496080.0,153920.0,2021-08-30
9603 Tinsmith Ln,Burke,VA,22015,764900,626940.0,137960.0,2021-08-30
2425 Hunter Mill Rd,Vienna,VA,22181,775000,800500.0,-25500.0,2021-08-30
5584 Sequoia Farms Dr,Centreville,VA,20120,675000,550450.0,124550.0,2021-08-30
2006 Dexter Dr,Falls Church,VA,22043,776000,640840.0,135160.0,2021-08-30
8301 Frye Rd,Alexandria,VA,22309,649000,518800.0,130200.0,2021-08-30
13638 Air And Space Museum Pkwy,Herndon,VA,20171,759900,616100.0,143800.0,2021-08-30
6110 Fairfield Pl,Alexandria,VA,22310,549950,486960.0,62990.0,2021-08-30
7301 Woodley Pl,Falls Church,VA,22046,759900,717210.0,42690.0,2021-08-30
14007 Betsy Ross Ln,Centreville,VA,20121,524900,431620.0,93280.0,2021-08-30
7558 Cross Gate Ln,Alexandria,VA,22315,664999,541480.0,123519.0,2021-08-30
9602 Braddock Rd,Fairfax,VA,22032,699999,602790.0,97209.0,2021-08-30
13712 Penwith Ct,Chantilly,VA,20151,469000,382840.0,86160.0,2021-08-30
7307 Westmore Dr,Springfield,VA,22150,525000,486910.0,38090.0,2021-08-30
2308 Hunters Square Ct,Reston,VA,20191,400000,347950.0,52050.0,2021-08-30
4313 Dubois St,Alexandria,VA,22310,625000,509160.0,115840.0,2021-08-30
6738 Fern Ln,Annandale,VA,22003,750000,613280.0,136720.0,2021-08-30
4350 Thomas Brigade Ln,Fairfax,VA,22033,589000,502050.0,86950.0,2021-08-30
7712 Wiley Creek Way,Alexandria,VA,22315,639900,537510.0,102390.0,2021-08-30
1668 Valencia Way,Reston,VA,20190,507000,436560.0,70440.0,2021-08-30
8116 Squirrel Run Rd,Springfield,VA,22152,574888,474720.0,100168.0,2021-08-30
8714 Camden St,Alexandria,VA,22308,719900,611230.0,108670.0,2021-08-30
9435 Wallingford Dr,Burke,VA,22015,674900,659120.0,15780.0,2021-08-30
6348 Field Flower Trl,Centreville,VA,20121,494000,396550.0,97450.0,2021-08-30
10445 Red Granite Ter,Oakton,VA,22124,519500,476130.0,43370.0,2021-08-30
3015 Summershade Ct,Herndon,VA,20171,599988,520170.0,79818.0,2021-08-30
6915 Inlet Cove Dr,Fort Belvoir,VA,22060,569900,502000.0,67900.0,2021-08-30
5487 Safe Harbor Ct,Fairfax,VA,22032,539000,443510.0,95490.0,2021-08-30
1104 Hertford St,Herndon,VA,20170,580000,490920.0,89080.0,2021-08-30
7710 Marshall Heights Ct,Falls Church,VA,22043,624900,592880.0,32020.0,2021-08-30
13677 Neil Armstrong Ave,Herndon,VA,20171,760000,567060.0,192940.0,2021-08-30
5456 Braddock Ridge Dr,Centreville,VA,20120,615000,465630.0,149370.0,2021-08-30
7455 Madeira Pl,Annandale,VA,22003,619000,478610.0,140390.0,2021-08-30
8117 Norwood Dr,Alexandria,VA,22309,549900,451830.0,98070.0,2021-08-30
7747 Frances Dr,Alexandria,VA,22306,699900,511690.0,188210.0,2021-08-30
9212 Claytonia Ln,Annandale,VA,22003,759000,619820.0,139180.0,2021-08-30
5526 La Cross Ct,Fairfax,VA,22032,500000,446420.0,53580.0,2021-08-30
8759 Cold Plain Ct,Springfield,VA,22153,675000,537090.0,137910.0,2021-08-30
5713 Heritage Hill Ct,Alexandria,VA,22310,534900,433960.0,100940.0,2021-08-30
9507 Hunt Square Ct,Springfield,VA,22153,537500,472120.0,65380.0,2021-08-30
4436 Longworthe Sq,Alexandria,VA,22309,419000,372290.0,46710.0,2021-08-30
4033 Estabrook Dr,Annandale,VA,22003,650000,544940.0,105060.0,2021-08-30
13804 Springstone Dr,Clifton,VA,20124,639000,595360.0,43640.0,2021-08-30
7750 Brandeis Way,Springfield,VA,22153,449977,372480.0,77497.0,2021-08-30
4413 Holborn Ave,Annandale,VA,22003,749900,644160.0,105740.0,2021-08-30
6000 Wilmington Dr,Burke,VA,22015,680000,569440.0,110560.0,2021-08-30
5934 Burnside Landing Dr,Burke,VA,22015,759900,671960.0,87940.0,2021-08-30
8215 Cedar Landing Ct,Alexandria,VA,22306,524900,514460.0,10440.0,2021-08-30
4669 Luxberry Dr,Fairfax,VA,22032,629900,515810.0,114090.0,2021-08-30
5408 Cheyenne Knoll Pl,Alexandria,VA,22312,609000,541870.0,67130.0,2021-08-30
9952 Wood Wren Ct,Fairfax,VA,22032,488000,422470.0,65530.0,2021-08-30
5832 Canvasback Rd,Burke,VA,22015,495000,414220.0,80780.0,2021-08-30
5804 Wood Laurel,Burke,VA,22015,570000,560410.0,9590.0,2021-08-30
9603 Lincolnwood Dr,Burke,VA,22015,714900,599200.0,115700.0,2021-08-30
2635 New Banner Ln,Herndon,VA,20171,649900,566440.0,83460.0,2021-08-30
5510 Maplefield Pl,Alexandria,VA,22310,515000,448080.0,66920.0,2021-08-30
4101 Downing St,Annandale,VA,22003,780000,579900.0,200100.0,2021-08-30
9614 Potters Hill Cir,Lorton,VA,22079,589900,490150.0,99750.0,2021-08-30
1549 Hiddenbrook Dr,Herndon,VA,20170,574900,469830.0,105070.0,2021-08-30
6539 Renwood Ln,Annandale,VA,22003,749950,678650.0,71300.0,2021-08-30
3915 Fairfax Pkwy,Alexandria,VA,22312,635000,522370.0,112630.0,2021-08-30
8321 Electric Ave,Vienna,VA,22182,750000,656650.0,93350.0,2021-08-30
8018 Sky Blue Dr,Alexandria,VA,22315,495000,455820.0,39180.0,2021-08-30
1532 Park Glen Ct,Reston,VA,20190,519999,437730.0,82269.0,2021-08-30
13593 Big Boulder Rd,Herndon,VA,20171,549994,469380.0,80614.0,2021-08-30
12825 Pinecrest Rd,Herndon,VA,20171,664900,527670.0,137230.0,2021-08-30
13046 Limestone Ct,Clifton,VA,20124,565000,479950.0,85050.0,2021-08-30
7909 Double Creek Ct,Springfield,VA,22153,724900,575690.0,149210.0,2021-08-30
5503 Calhoun Ave,Alexandria,VA,22311,800000,645097.0,154903.0,2021-08-30
13644 Cedar Run Ln,Herndon,VA,20171,674900,586050.0,88850.0,2021-08-30
13611 Flying Squirrel Dr,Herndon,VA,20171,529990,471630.0,58360.0,2021-08-30
8227 Kings Arm Dr,Alexandria,VA,22308,745000,581070.0,163930.0,2021-08-30
6426 Selby Ct,Centreville,VA,20121,510000,373830.0,136170.0,2021-08-30
208 Meeting House Station Sq,Herndon,VA,20170,599000,535650.0,63350.0,2021-08-30
5530 Kendrick Ln,Burke,VA,22015,545000,427770.0,117230.0,2021-08-30
10499 West Dr,Fairfax,VA,22030,749995,718500.0,31495.0,2021-08-30
14742 Gatwick Sq,Centreville,VA,20120,413900,339970.0,73930.0,2021-08-30
2503 Stirrup Ln,Alexandria,VA,22308,729900,593300.0,136600.0,2021-08-30
8516 Doyle Dr,Alexandria,VA,22308,699900,608170.0,91730.0,2021-08-30
4403 Coldbrooke Ct,Alexandria,VA,22306,639900,534280.0,105620.0,2021-08-30
2112 Belle View Blvd,Alexandria,VA,22307,689000,511230.0,177770.0,2021-08-30
10440 Stallworth Ct,Fairfax,VA,22032,750000,554740.0,195260.0,2021-08-30
8930 Ataturk Way,Lorton,VA,22079,629990,509920.0,120070.0,2021-08-30
3846 Gallows Rd,Annandale,VA,22003,731000,592730.0,138270.0,2021-08-30
10118 Oakwood Chase Ct,Oakton,VA,22124,659900,588340.0,71560.0,2021-08-30
6219 Split Creek Ln,Alexandria,VA,22312,735000,620720.0,114280.0,2021-08-30
12585 Birkdale Way,Fairfax,VA,22030,689900,567740.0,122160.0,2021-08-30
1576 Goldenrain Ct,Reston,VA,20190,499000,433870.0,65130.0,2021-08-30
6213 Squires Hill Dr,Falls Church,VA,22044,665000,592130.0,72870.0,2021-08-30
3131 Cofer Rd,Falls Church,VA,22042,649900,572720.0,77180.0,2021-08-30
13600 Bridgeland Ln,Clifton,VA,20124,617000,547380.0,69620.0,2021-08-30
11994 Sentinel Point Ct,Reston,VA,20191,539500,453610.0,85890.0,2021-08-30
8468 Falling Leaf Rd,Springfield,VA,22153,725000,574820.0,150180.0,2021-08-30
13839 Wakley Ct,Centreville,VA,20121,465400,396650.0,68750.0,2021-08-30
6024 Crown Royal Cir,Alexandria,VA,22310,542900,456110.0,86790.0,2021-08-30
4316 Halfe St,Alexandria,VA,22309,695000,589370.0,105630.0,2021-08-30
6219 Windham Hill Run,Alexandria,VA,22315,659900,577340.0,82560.0,2021-08-30
11348 Vale Rd,Oakton,VA,22124,799000,684620.0,114380.0,2021-08-30
5822 Cowling Ct,Alexandria,VA,22304,495000,457907.0,37093.0,2021-08-30
2421 Clover Field Cir,Herndon,VA,20171,549900,450150.0,99750.0,2021-08-30
12710 Thunder Chase Dr,Reston,VA,20191,749000,606690.0,142310.0,2021-08-30
10118 Dundalk St,Fairfax,VA,22032,659000,575110.0,83890.0,2021-08-30
3702 Mason St,Fairfax,VA,22030,639999,478100.0,161899.0,2021-08-30
14944 Greymont Dr,Centreville,VA,20120,537500,456980.0,80520.0,2021-08-30
2601 Schooley Dr,Alexandria,VA,22306,625000,422110.0,202890.0,2021-08-30
6335 Buffie Ct,Burke,VA,22015,484900,406060.0,78840.0,2021-08-30
4679 Charger Pl,Chantilly,VA,20151,679950,190000.0,489950.0,2021-08-30
4702 Major Ct,Alexandria,VA,22312,620000,547200.0,72800.0,2021-08-30
1722 Cy Ct,Vienna,VA,22182,725000,621180.0,103820.0,2021-08-30
6508 Koziara Dr,Burke,VA,22015,694900,607800.0,87100.0,2021-08-30
6654 Old Blacksmith Dr,Burke,VA,22015,749000,680270.0,68730.0,2021-08-30
7708 Baird Ct,Lorton,VA,22079,475000,418950.0,56050.0,2021-08-30
12313 Donaldson Ct,Fairfax,VA,22033,584000,517470.0,66530.0,2021-08-30
5831 New England Woods Dr,Burke,VA,22015,714888,600200.0,114688.0,2021-08-30
